         3508955 function calls (3465220 primitive calls) in 14.706 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   4800/7    0.045    0.000    7.447    1.064 <frozen importlib._bootstrap>:1022(_find_and_load)
   2153/7    0.014    0.000    7.447    1.064 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
   2077/8    0.016    0.000    7.442    0.930 <frozen importlib._bootstrap>:664(_load_unlocked)
   1977/8    0.009    0.000    7.441    0.930 <frozen importlib._bootstrap_external>:877(exec_module)
   2604/8    0.002    0.000    7.437    0.930 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   3067/8    0.703    0.000    7.435    0.929 {built-in method builtins.exec}
   861/74    0.003    0.000    6.319    0.085 {built-in method builtins.__import__}
 2275/290    0.008    0.000    6.080    0.021 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    5.895    5.895 c:\Users\genia\Work\segment-anything\segment_anything\__init__.py:1(<module>)
        1    0.001    0.001    4.541    4.541 c:\Users\genia\Work\segment-anything\segment_anything\build_sam.py:14(build_sam_vit_h)
        1    0.000    0.000    4.540    4.540 c:\Users\genia\Work\segment-anything\segment_anything\build_sam.py:55(_build_sam)
        1    0.001    0.001    3.295    3.295 c:\Users\genia\Work\segment-anything\segment_anything\modeling\image_encoder.py:18(__init__)
      175    0.003    0.000    3.283    0.019 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\linear.py:92(__init__)
       32    0.001    0.000    3.277    0.102 c:\Users\genia\Work\segment-anything\segment_anything\modeling\image_encoder.py:122(__init__)
      175    0.003    0.000    3.258    0.019 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\linear.py:105(reset_parameters)
      183    0.003    0.000    3.257    0.018 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\init.py:406(kaiming_uniform_)
      364    3.253    0.009    3.253    0.009 {method 'uniform_' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    3.063    3.063 c:\Users\genia\Work\segment-anything\segment_anything\predictor.py:1(<module>)
        1    0.000    0.000    3.060    3.060 c:\Users\genia\Work\segment-anything\segment_anything\utils\transforms.py:1(<module>)
